strategy,depth_pct,n_contacted,n_true_churners_contacted,cost,expected_revenue_saved,net_value
Modelo,10,704,565,14080.0,163992.06,149912.06
Aleatorio,10,704,187,14080.0,43597.57136447536,29517.571364475363
Modelo,20,1408,993,28160.0,284702.76,256542.76
Aleatorio,20,1408,374,28160.0,87195.14272895073,59035.14272895073
Modelo,30,2112,1299,42240.0,364722.66,322482.66
Aleatorio,30,2112,560,42240.0,130559.57200056795,88319.57200056795
Modelo,40,2817,1535,56340.0,423070.38,366730.38
Aleatorio,40,2817,748,56340.0,174390.28545790145,118050.28545790145
Modelo,50,3521,1679,70420.0,460544.39999999997,390124.39999999997
Aleatorio,50,3521,934,70420.0,217754.71472951866,147334.71472951866
Modelo,60,4225,1781,84500.0,482763.42000000004,398263.42000000004
Aleatorio,60,4225,1121,84500.0,261352.28609399404,176852.28609399404
Modelo,70,4930,1833,98600.0,494900.82000000007,396300.82000000007
Aleatorio,70,4930,1308,98600.0,304949.8574584694,206349.8574584694
Modelo,80,5634,1855,112680.0,498669.12,385989.12
Aleatorio,80,5634,1495,112680.0,348547.42882294476,235867.42882294476
Modelo,90,6338,1866,126760.0,500378.93999999994,373618.93999999994
Aleatorio,90,6338,1682,126760.0,392145.00018742017,265385.00018742017
Modelo,100,7043,1869,140860.0,500871.06,360011.06
Aleatorio,100,7043,1869,140860.0,435742.57155189547,294882.57155189547
